@	at
@	ät
@	aet
@	klammeraffe
.	punkt
:	doppelpunkt
:	strichpunkt
;	semikolon
.	PUNKT
.	dot
...	auslassungspunkte
-	bindestrich
-	trennstrich
-	engänzungsstrich
-	dash
-	hyphen
-	minus
_	unterstrich
_	grundstrich
_	tiefstrich
_	underscore
!	ausrufzeichen
#	nummerzeichenp
#	raute
#	rautenzeichen
#	hashtag
$	dollarzeichen
%	Prozentzeichen
&	et-zeichen
'	anführungzeichen
*	sternchen
+	pluszeichen
+	plus
/	slash
//	doppelslash
/	schrägstrich
/	schraegstrich
\	umgekehrter schrägstrich
\	umgekehrter schraegstrich 
\	rückstrich
=	gleichheitszeichen
=	gleich 
=	equal
<	gröser als
<	kleiner als
?	fragezeichen
?	question mark
ˆ   zirkumflex
ˆ   hochzeichen
`	einfaches anführungzeichen
`	gravis akzent
´	akut akzent
'	apostroph
'	hochkomma
|	senkrechter strich
{	linke klammer
{	curly open
}	rechte klammer
}	geschweift zu
~	tilde
~	freistehende tilde
~	ähnlich wie
,	komma
,	beistrich
://	colon slash slash
://	colon schrägstrich schrägstrich
://	colon schraegstrich schraegstrich
://	doppelpunkt schraegstrich schraegstrich
://	DOPPELPUNKT SCHRÄGSTRICH SCHRÄGSTRICH
://	doppelpunkt slash slash
http	H T T P
https	H T T P S
http	HTTP
http	http
https	https
https	HTTPS
µ	mikro
